"symbol","total_prices","stock_from_date","stock_to_date","total_earnings","earnings_from_date","earnings_to_date"
"KMB","5440","1998-01-02","2019-08-15","41","2009-07-23","2019-07-23"
"KMDA","1555","2013-05-31","2019-08-02","25","2013-08-01","2019-08-06"
"KMF","2195","2010-11-24","2019-08-15","0","NULL","NULL"
"KMG","4767","2000-01-03","2018-12-14","0","NULL","NULL"
"KMI","2141","2011-02-11","2019-08-15","33","2011-07-20","2019-07-17"
"KMM","5273","1998-01-02","2019-04-05","0","NULL","NULL"
"KMPA","1234","2014-09-22","2019-08-15","0","NULL","NULL"
"KMPH","1083","2015-04-16","2019-08-02","18","2015-05-27","2019-08-13"
"KMPR","5440","1998-01-02","2019-08-15","32","2011-11-02","2019-08-05"
"KMT","5440","1998-01-02","2019-08-15","41","2009-07-30","2019-08-05"
"KMX","5440","1998-01-02","2019-08-15","41","2009-06-19","2019-06-21"
"KN","1385","2014-02-14","2019-08-15","22","2014-04-28","2019-07-24"
"KND","4321","2001-05-01","2018-07-19","0","NULL","NULL"
"KNDI","3000","2007-09-04","2019-08-02","36","2009-08-17","2018-11-09"
"KNL","3693","2004-12-14","2019-08-15","41","2009-07-16","2019-07-24"
"KNOP","1600","2013-04-10","2019-08-15","25","2013-08-26","2019-05-24"
"KNSA","307","2018-05-24","2019-08-13","3","2019-03-07","2019-08-12"
"KNSL","759","2016-07-28","2019-08-02","13","2016-09-07","2019-08-01"
"KNX","5436","1998-01-02","2019-08-09","35","2011-01-25","2019-07-24"
"KO","5440","1998-01-02","2019-08-15","41","2009-07-21","2019-07-23"
"KOD","215","2018-10-04","2019-08-13","4","2019-02-15","2019-08-14"
"KODK","1485","2013-09-23","2019-08-15","18","2014-08-05","2018-11-09"
"KOF","5440","1998-01-02","2019-08-15","38","2009-07-28","2019-04-26"
"KONA","3515","2005-08-16","2019-08-02","38","2009-07-28","2018-11-08"
"KONE","2098","2010-05-14","2018-09-12","0","NULL","NULL"
"KOOL","5431","1998-01-02","2019-08-02","42","2009-05-06","2019-08-13"
"KOP","3408","2006-02-01","2019-08-15","42","2009-05-07","2019-08-08"
"KOPN","5431","1998-01-02","2019-08-02","41","2009-08-04","2019-08-08"
"KORS","1827","2011-12-15","2019-03-22","0","NULL","NULL"
"KOS","2080","2011-05-11","2019-08-15","33","2011-08-11","2019-08-05"
"KOSS","5431","1998-01-02","2019-08-02","36","2009-07-20","2019-01-24"
"KPFS","189","2018-10-04","2019-07-12","0","NULL","NULL"
"KPTI","1444","2013-11-06","2019-08-02","22","2014-05-07","2019-08-06"
"KR","5440","1998-01-02","2019-08-15","41","2009-06-23","2019-06-20"
